region,year,month,milk_production(tons),meat_production(tons),milk_lag_1(tons),milk_lag_3(tons),milk_lag_6(tons),meat_lag_1(tons),meat_lag_3(tons),meat_lag_6,milk_mom_change(%),meat_mom_change,food_shock_risk,predicted_risk,risk_probability
Ұлытау,2024,7,"36785,7","13076,8","26624,7","13169,6","932,7","11989,5","7261,4","3772,3","0,381638103","0,09068768506",1,1,"0,9648104573"
Восточно-Казахстанская,2024,7,"128317,1","84017,8","101649,6","55251,7",10951,"71254,9","42227,3",9667,"0,2623473186","0,1791161029",1,1,"0,9999483801"
г. Астана,2024,7,"116,1","40,3",91,"53,1","11,2","36,4","26,8","6,8","0,2758241758","0,1071428571",1,0,"0,4409568967"
г. Алматы,2024,7,226,"22,5","197,6","141,2","48,2",22,14,"0,5","0,1437246964","0,02272727273",0,0,"0,4107134349"
г. Шымкент,2024,7,"41124,1","5125,5","33750,2","18197,8","3430,5","4565,1","3249,9","1007,9","0,2184846312","0,1227574423",1,1,"0,7948801627"
Абай,2025,7,"180035,5","71920,9","142600,1",69185,"9509,8",60459,"30948,4","5738,4","0,2625201525","0,1895813692",1,1,"0,9999995809"
Акмолинская,2025,7,"140880,3",122040,"115500,4","62103,1","11378,1","106574,2","71635,5","14988,9","0,2197386329","0,1451176739",1,1,"0,9771810418"
Актюбинская,2025,7,"103322,6","61721,5","80817,5","38583,2","3645,1","55326,1","35070,5","7609,5","0,2784681536","0,1155946289",1,1,"0,9911395153"
Алматинская,2025,7,"162844,8","143002,5","131405,9","74932,3","18568,9","127422,5","78463,3",16754,"0,2392502924","0,1222703997",1,1,"0,8929680075"
Атырауская,2025,7,"19329,4",26533,"16342,1","6877,1","1102,6","24076,6","13994,6","2949,7","0,1827978044","0,1020243722",1,0,"0,1906767196"
Западно-Казахстанская,2025,7,"142032,2","55892,7","113897,6",38230,"3211,2","48867,9","27305,2","5092,2","0,2470166184","0,1437508057",1,1,"0,9998792487"
Жамбылская,2025,7,130984,"64866,9","108345,6","56950,9","11870,5","57590,8","33007,2","7878,4","0,208946187","0,1263413601",1,1,"0,9250779062"
Жетісу,2025,7,"125893,1","49261,3","104189,9","57403,7","10947,2","46628,2","24899,7","4826,2","0,2083042598","0,05647011894",1,0,"0,183938931"
Карагандинская,2025,7,"124664,5","49186,8","102550,2","44490,5","4413,6","43960,3","22233,1","5584,1","0,2156436555","0,1188913633",1,1,"0,9761574512"
Костанайская,2025,7,"165794,1","40247,1","141359,7","68141,5","12296,7","37021,6","23629,6","5955,3","0,1728526589","0,08712481362",0,1,"0,5362649367"
Кызылординская,2025,7,"26157,7","20191,9","21474,9","12833,1","3000,2","17372,4","11329,5","3152,1","0,2180592226","0,1622976676",1,1,"0,6902546433"
Павлодарская,2025,7,"153420,1",55236,"125046,9","71717,1","15361,5","45112,8","26802,8","6048,9","0,2269004669","0,2243975102",1,1,"0,9999717807"
Северо-Казахстанская,2025,7,"224516,2","42371,8","177835,5","93919,2","17844,5","33268,9","22604,1","7519,7","0,2624937091","0,2736158995",1,1,"0,9999999972"
Туркестанская,2025,7,"327360,2","107009,1","283864,7","162858,7",33158,"92906,4","62501,4","16394,1","0,1532261673","0,1517947095",0,1,"0,5689205755"
Ұлытау,2025,7,"36932,6","13118,1","26890,1","13317,1","943,6","12004,2","7279,8",3786,"0,3734645836","0,09279252262",1,1,"0,9619221904"
Восточно-Казахстанская,2025,7,"147417,1","82941,2","119170,4",64835,"11925,9","69663,2","41762,8","9529,8","0,237027819","0,190602786",1,1,"0,9999628683"
г. Астана,2025,7,"81,8","38,1","60,4","31,5","6,6","34,7","24,9","7,4","0,3543046358","0,09798270893",1,0,"0,450127205"
г. Алматы,2025,7,"188,3","113,3","161,2","103,5","24,9","59,1","6,8",3,"0,1681141439","0,9170896785",1,1,"0,5416282199"
г. Шымкент,2025,7,"43523,4","4384,3","36592,2","20684,9",4112,"3822,5","2652,2","865,2","0,1894174168","0,146971877",1,1,"0,6995508624"
Абай,2024,6,"136880,1","57487,8","97129,9","42255,5","295875,8","39222,3","21154,1","152814,2","0,4092478217","0,4656917111",1,1,1
Акмолинская,2024,6,"112650,7","100778,5","84373,7","40093,8","234791,3","80388,9","47741,9","195721,5","0,3351399785","0,2536370071",1,1,"0,9999999991"
Актюбинская,2024,6,"78923,9","54884,2","52699,9","25427,7","176508,5","42967,1","25165,9","115147,5","0,4976100524","0,2773540686",1,1,"0,9999999962"
Алматинская,2024,6,"126583,3","123550,5","93974,8","52326,6","289552,9","93409,2","59050,5","276105,3","0,3469919595","0,3226802071",1,1,1
Атырауская,2024,6,"15523,6","22086,7",11784,"4008,9","31329,9","16529,5","10069,3",52698,"0,3173455533","0,3361989171",1,1,"0,9937839654"
Западно-Казахстанская,2024,6,"110998,1",47646,"71691,2","18399,7","208108,3","34873,3",19119,"103766,9","0,5482806816","0,3662601474",1,1,1
Жамбылская,2024,6,"106656,1","54465,8","77713,6","36186,5","226293,1","41478,5","24193,1","129915,9","0,3724251611","0,3131092012",1,1,"0,9999999989"
Жетісу,2024,6,"100481,5","44791,5","74608,5","36320,1","216421,5","28211,2","20627,5","110210,6","0,3467835434","0,5877204798",1,1,1
Карагандинская,2024,6,"100424,1","41466,4","68437,8","27789,8","211042,4","27592,8","16228,5","100392,9","0,4673776772","0,5027978313",1,1,1
Костанайская,2024,6,"126700,2","40766,7","83120,6","38184,7","206102,9","29841,3","17190,1","68085,9","0,5242936167","0,3661167576",1,1,1
Кызылординская,2024,6,"20852,6","16776,6","16551,3","9109,1","48140,5","13540,7","8397,3","38856,8","0,2598768677","0,2389758284",1,1,"0,9208277182"
Павлодарская,2024,6,"112989,8",46842,"86460,3","44206,4","236884,8","34609,1","19022,1","113332,6","0,3068402492","0,3534590613",1,1,"0,9999999889"
Северо-Казахстанская,2024,6,"174285,5","29738,4","128496,4","56271,8","370583,2","24303,7","16138,7","74309,5","0,3563453918","0,2236161572",1,1,"0,9999999997"
Туркестанская,2024,6,"240536,2","100687,4",185712,"92168,5",447085,"77328,1","48394,9","245788,4","0,2952108641","0,3020803563",1,1,1
Ұлытау,2024,6,"26624,7","11989,5","20723,4","7702,4","64144,2","8818,9","6446,1","27463,2","0,2847650482","0,3595232966",1,1,"0,9876787363"
Восточно-Казахстанская,2024,6,"101649,6","71254,9","75103,6","37074,4","239019,9","54651,8","31563,3","161403,9","0,3534584228","0,3037978621",1,1,"0,9999999991"
г. Астана,2024,6,91,"36,4",73,"32,2","177,7","31,9","21,6","73,2","0,2465753425","0,1410658307",1,0,"0,4412463859"
г. Алматы,2024,6,"197,6",22,"170,3","112,6","371,9","17,6","9,8","70,8","0,1603053435","0,25",1,0,"0,4430501396"
г. Шымкент,2024,6,"33750,2","4565,1","25363,5","12037,4","69531,5","3767,8",2517,"8322,1","0,3306602007","0,2116088964",1,1,"0,9724214453"
