region,year,month,milk_production(tons),meat_production(tons),milk_lag_1(tons),milk_lag_3(tons),milk_lag_6(tons),meat_lag_1(tons),meat_lag_3(tons),meat_lag_6,milk_mom_change(%),meat_mom_change,food_shock_risk,predicted_risk,risk_probability
Акмолинская,2024,9,"184226,7","146017,67","161591,3","112650,7","40093,8","130282,85","100778,46","47741,93","0,1400780859","0,1207742999",0,0,"0,00008262585771"
Актюбинская,2024,9,138870,"77206,8","120743,7","78923,9","25427,7","68154,21","54884,17","25165,88","0,1501221182","0,1328251035",0,0,"0,03724952842"
Алматинская,2024,9,"221779,6","190220,67","189191,1","126583,3","52326,6","160373,25","123550,54","59050,49","0,1722517603","0,1861122101",1,1,"0,9980988987"
Атырауская,2024,9,"24864,5","33065,66",21592,"15523,6","4008,9","27821,89","22086,67","10069,25","0,1515607632","0,1884764119",1,1,"0,5985731891"
Западно-Казахстанская,2024,9,"177805,9","71037,5","158226,5","110998,1","18399,7","61516,22","47645,96","19118,96","0,1237428623","0,1547767402",0,0,"0,007622390263"
Жамбылская,2024,9,"178112,4","83003,8","153771,4","106656,1","36186,5","71665,81","54465,75","24193,13","0,1582934148","0,1582064027",0,0,"0,3181404076"
Жетісу,2024,9,"167651,4","66002,78","142392,6","100481,5","36320,1","53839,05","44791,48","20627,51","0,1773884317","0,2259276492",1,1,"0,9963523276"
Карагандинская,2024,9,"164318,7","66736,2",140932,"100424,1","27789,8","53678,58","41466,39","16228,51","0,1659431499","0,2432556897",1,1,"0,9962431772"
Костанайская,2024,9,"176605,2","54315,35","163830,6","126700,2","38184,7","48519,24","40766,71","17190,05","0,07797444433","0,1194600328",0,0,"0,000001846357266"
Кызылординская,2024,9,"33885,5","25543,63","29525,9","20852,6","9109,1","22394,64","16776,55","8397,26","0,1476534162","0,1406135575",0,0,"0,2337028396"
Павлодарская,2024,9,"184803,5","75240,27","164247,6","112989,8","44206,4","65875,09","46841,97","19022,05","0,1251519048","0,1421657261",0,0,"0,003355211527"
Северо-Казахстанская,2024,9,"300508,9","55270,62",262702,"174285,5","56271,8","45948,06","29738,36","16138,74","0,1439155393","0,202893441",1,1,"0,5409447036"
Туркестанская,2024,9,"354771,1","153524,86","318820,8","240536,2","92168,5","128417,42","100687,43","48394,89","0,1127602089","0,1955142846",1,0,"0,001002676594"
Ұлытау,2024,9,47171,"18727,86","44090,4","26624,7","7702,4","15140,21","11989,51","6446,05","0,0698700851","0,2369617066",1,0,"0,2132525158"
Восточно-Казахстанская,2024,9,"175124,5","111055,34","153845,9","101649,6","37074,4","95914,54","71254,87","31563,3","0,1383111282","0,1578571925",0,0,"0,06209316725"
г. Астана,2024,9,"158,5","51,63","141,1",91,"32,2","45,53","36,4","21,6","0,1233167966","0,1339775972",0,0,"0,4221235096"
г. Алматы,2024,9,"276,4","37,6","253,5","197,6","112,6",25,22,"9,8","0,09033530572","0,504",1,0,"0,4642940369"
г. Шымкент,2024,9,"53097,9","6016,51","47495,8","33750,2","12037,4","5568,58","4565,06","2516,98","0,1179493766","0,08043881923",0,0,"0,09203309745"
Абай,2025,9,"248414,4","100973,3","214510,4","142600,1","43080,5","84915,7","60459,01","21636,48","0,1580529429","0,1891004844",1,1,"0,9501904184"
Акмолинская,2025,9,"186168,1",152849,"163721,5","115500,4",41567,"136382,4","106574,23","52482,85","0,1371023354","0,1207384531",0,0,"0,00003596818823"
Актюбинская,2025,9,"142392,2","77946,57","123705,7","80817,5","26032,2","68532,44","55326,06","25477,22","0,1510560952","0,1373675007",0,0,"0,05710061235"
Алматинская,2025,9,"232105,6","192803,4","195730,1","131405,9","55115,8","163065,67","127422,46","60339,3","0,1858452021","0,1823665889",1,1,"0,9994189911"
Атырауская,2025,9,"25773,7","35412,53","22828,7","16342,1","4037,2","30144,94","24076,58","10818,32","0,1290042797","0,174742096",0,0,"0,3952266299"
Западно-Казахстанская,2025,9,"182828,6","73155,18","162831,8","113897,6","18887,5","63368,06","48867,92","19702,99","0,1228064788","0,154448787",0,0,"0,006029415443"
Жамбылская,2025,9,"181001,2","86017,96","156281,6","108345,6","36625,6","75103,97","57590,82","24681,81","0,158173451","0,1453184166",0,0,"0,1185013302"
Жетісу,2025,9,"174418,9","68171,5","147597,2","104189,9","37577,6","55438,58","46628,22","21114,82","0,181722282","0,2296761569",1,1,"0,9984845729"
Карагандинская,2025,9,"167797,1","69886,04",143483,"102550,2","27897,2","56535,47","43960,29","16303,32","0,1694563119","0,2361450254",1,1,"0,9966342792"
Костанайская,2025,9,"193528,6","49686,89",180178,"141359,7","42476,3","44568,81","37021,59","17596,8","0,07409672657","0,1148354645",0,0,"0,0000003440561582"
Кызылординская,2025,9,"34888,7","26548,68","30485,6","21474,9",9232,"23252,47","17372,4","8635,27","0,1444321253","0,1417574133",0,0,"0,2223966412"
Павлодарская,2025,9,"201258,8","72727,94","179658,2","125046,9","50121,7","63527,74","45112,84","19438,28","0,1202316399","0,1448217739",0,0,"0,001514841995"
Северо-Казахстанская,2025,9,"307118,3","62155,33","268044,1","177835,5","59578,9","52146,71","33268,86","17704,05","0,1457752661","0,1919319551",1,1,"0,5181545714"
Туркестанская,2025,9,"405958,4","158590,09","368780,3","283864,7","112868,2","122945,28","92906,37","48517,42","0,1008136823","0,2899241842",1,1,"0,8812835999"
Ұлытау,2025,9,"47277,5","18766,73","44196,1","26890,1","7792,3","15166,33","12004,23","6464,88","0,06972108399","0,2373942806",1,0,"0,2106087391"
Восточно-Казахстанская,2025,9,"193242,8","111320,8","173414,2","119170,4","43016,3","95260,79","69663,2","30920,15","0,1143424241","0,1685899309",0,0,"0,007377833235"
г. Астана,2025,9,"124,5",50,"106,7","60,4","19,7","43,7","34,7","19,7","0,1668228679","0,1441647597",0,0,"0,4302408202"
г. Алматы,2025,9,"243,3","137,6","215,5","161,2","75,7","129,8","59,1","6,7","0,1290023202","0,06009244992",0,0,"0,4097000279"
г. Шымкент,2025,9,"54310,8","5303,46","49385,6","36592,2","13758,6","4819,66","3822,53","2148,76","0,0997294758","0,1003805248",0,0,"0,05268125453"
Абай,2024,10,"259178,4","106920,4","234317,5","171118,2","67776,3","96127,82","68229,27","29931,87","0,106099203","0,1122732212",0,0,"0,0000001815254425"
Акмолинская,2024,10,202600,"161097,65","184226,7","138918,3","60314,9","146017,67","115745,93","64381,85","0,09973201496","0,1032750351",0,0,"0,000000002587135383"
Актюбинская,2024,10,"153455,2","84955,87",138870,"101035,1","37674,9","77206,8","61189,81","34535,4","0,1050277238","0,1003677137",0,0,"0,000006504906668"
Алматинская,2024,10,"251870,1","214026,11","221779,6","156307,6","71513,5","190220,67","139545,43","75230,04","0,1356774924","0,1251464418",0,0,"0,000002083089992"
